,reviews
17,"An auld alliance renewed, this gorgeous whisky packs spicy aromas of peppercorn, star anise, and cardamom seeds, mingling with toffee squares, plum jam, dunnage earth, and dried sprigs of heather. Rich fruitcake, jellied fruit, and bramble, then spices course through the mouth: chili heat, black pepper, and raw ginger. Final phase has chocolate praline, growing milky, nutty, and soothing. Exceptional lengthy finish with reignited spices. Chivas 18 goes electric. (Travel Retail exclusive)"
18,"Well, what have we here? A blend of 50% malt and 50% grain (a very high malt content for a blend), and bottled at 50%, too! The whisky was blended first (very unusual), before being aged in sherry casks for its entire life. Antique amber/chestnut color. Full sherry impact, but never cloying -- the higher alcohol level and grain whisky cut through the sherry and add balance and drinkability. This is a fruity-confection delight, with raisin chutney, fig cake, orange almond scone, and chocolate-covered cherry. Add to the mix richly textured toffee, old oak, polished leather, and a cinnamon-spiced tobacco finish. A rare treat! A great old blend that malt drinkers will embrace."
19,"If a Scotch whisky could smell plush and velvety, this Pedro Ximénez-finished blend would be it. Chocolate-covered raisins, peat smoke, cigar lounge, licorice, chamois leather, and charred oak staves. The palate is smooth, delicate, and finely tuned with syrupy prune, raisins, plum, raspberry, strawberry, 70% dark chocolate, peppercorn, ginger, clove, and a hint of smoke. This showcases lip-smacking, intricate blending on the oldest Dewar’s available. Editors' Choice"
20,"Jaw-dropping: Aberlour 1973, Bunnahabhain 1968 and 1969, Bowmore 1968, Caperdonich 1972, Glen Grant 1974, Glenfarclas 1966, Glenlivet 1968 and 1970, Highland Park 1967 and 1970, and Macallan 1969. It includes a 14% grain content from Caledonian 1974, Carsebridge 1970, Girvan 1974, Invergordon 1972, Lochside 1966, North of Scotland 1974, and Port Dundas 1973. An elegant, refined mélange of peach, pear, soft oak, and rose cream florals, with dark fruit, chocolate, and fine pepper. Outstanding."
21,"Well-structured and masculine with its rich malty backbone and mouth-coating fruit. Yet, there’s a silky, seductive underbelly that’s very compelling. Notes of sultana, honey-drenched mandarin, ripe peach, thick toffee, and anise, with a peppering of spice throughout, especially toward the finish, where a hint of smoke emerges. The grain whisky enhances the blend’s allure by cutting through the whisky’s viscosity, making it very more-ish. I love the combination of drinkability, flavor, complexity, and balance in this blend. Very versatile. Single malt drinkers will thoroughly enjoy this experience. (Note: at this time, this whisky is not sold in the U.S.)
"
22,"A blast of exotic spices, followed by sweet oak, juicy tangerines, bosc pear, sandalwood, petitgrain oil, and vanilla seeds; it’s that junction of oak and spices where the mizunara has worked its magic. The palate is medium in weight with caramel, hazelnut, and a collision of orange and active spices, with the mizunara continuing to influence the flavor of the finish. The cooperage may be arduous but it’s worth it. (Global Travel Retail)"
23,"It’s like someone just turned up the volume on flavor. Cherry fudge, marshmallow, vanilla pod, ristretto, luscious caramel, almond-topped Dundee cake, and wood spices. Dark, oily, and muscular, with burnished orange, clove, licorice, and burnt char. Sweetness brims over the tongue with apple, pear,
and malted barley as it softens to a beautiful velvety texture. This whisky’s great journey
is over. The baked apricot instigates an eternal finish (1,352 bottles, 300 for the U.S.)"
24,"This presents a mellow bouquet of rich dried fruits, peat smoke, baked sugar on puff pastry, and almond butter cups. The chocolate-orange signature note ebbs and flows, mingling with spices and clove, nuts, dried apricot, caramel, vanilla, and baked apple, ending with a frisson of spice and mild smoke. Understated elegance: this whisky is polished smooth as glass."
25,"The last new Chivas release was the 25 year old several years back. To be honest, I didn’t like it as much as Chivas 18 year old. Those extra years contributed an additional dry oak influence which I felt was a bit too dominant—especially on the finish. So you can imagine my concerns before tasting this 38 year old whisky. But this new Royal Salute has something to balance the dry oak that the 25 year old didn’t—lush, rich, sweet sherry notes. It’s quite fruity, with toffee apple, date nut cake, fig, molasses, and golden raisin up front, evolving to dried fruit, pencil shavings, tobacco, and polished leather, with subtle cinnamon and cocoa on the finish. My favorite of the entire Chivas line is the 18 year old (which I rated a 95) for its impeccable balance, but this is still a very impressive whisky!"
26,"TLD’s sixth release captivates with dark caramel, Brazil nut, polished oak, cacao, scorched earth, grilled field mushroom, and roasted coffee bean aromas. To sip is to submit to a discombobulating whirl of cherry and jellied black fruits replete with old sherry characteristics, replaced by an unctuous, oily base, torn asunder by seething spices of clove, pepper, and star anise. Ever-changing. Muted exit of dulled spice, browning apple, and eucalyptus. (898 bottles)"
27,"Black Bottle is unique in that it combines seven different Islay whiskies with grain whisky. This produces a whisky with a beautifully rounded Islay character that will satisfy the discriminating “peat-head,” the drinkability of a blended scotch, and plenty of complexity. For a blend, there’s heft to the whisky. I enjoy the interplay between the peat smoke, brine, seaweed, its firm, malty foundation and pleasingly dry finish. 
"
28,"Here’s your private audience with the inestimable Mr. Beveridge. After contemplating impeccably selected aged liquids from the big five Distillers Company Limited (DCL) grain distilleries, he’s ready. Three vattings representing cask character, distillery character, and Highland single malt were combined in the final blend. Fresh layers of lemon and honey mingle with wood smoke. A seductive soft and creamy palate, saturated with fudge and delicate vanilla fuse together in a study of honeyed perfection. A fine indulgence. The best yet. (8,888 bottles)"
29,"Bright gold. Amazingly fresh fruits and quince, slowly evolving into mango, blueberry, and a jammy tayberry note. At the same time, exotic spices like cardamom begin to build, particularly when the surface is broken with a drop of water, while vanilla pod notes develop. In the mouth, the grain smooths all the elements, giving an unctuous feel. There’s just sufficient oakiness to give structure and any smoke is far in the distance.  A triumph of the blender’s art. £100,000"
30,"Perhaps the most alluring name ever given to a whisky, this has a nose of bright, zesty, potent clementine with vanilla sponge cake, fudge, heady floral scents, toasted coriander seeds, and peppercorn. Citrus drives the palate, but it’s sweet and tangy, and arrives with vanilla, fudge, toffee, and twinkling little flights of spice. Brilliant blending and the tastiest exploration of Ballantine’s signature notes to date. (Travel Retail exclusive)"
31,"Not seen since 2010, this yields vanilla frosting, menthol, spearmint, cream, dry spices, cedarwood, chopped herbs, and a discernable whiff of old grain. Silky taste of butterscotch; it becomes more honeyed, with creamy vanilla, dried banana, malt, and a pinch of cinnamon, pepper, herbs, clove, and eucalyptus. The yin and yang of Glen Elgin and Girvan makes an admirable exercise in precision, minimalist blending. Mad as a box of frogs."
32,"This release from independent bottler The Last Drop has a captivating aroma of dark toffee, cinnamon, Brazil nut, star anise, polished oak, vanilla seed, crème de cassis, and a wisp of smoke that shows more charred stave as time goes on. Peach and baked orange precede an early peak of spice and smoke, then sit back and swim in the soothing mélange of chocolate brownie, Whoppers, stewed apple, vanilla pod, oak, sultana, and plum jam. (732 bottles) Collectibles"
33,"This second release in the Flask Collection epitomizes deft management of PX finishing to produce an opulent treat. Honey and sherry notes, chunks of fruit-and-nut chocolate, melting caramel, plummy fruit, chocolate-covered raisins, refined dry spices, and stimulating peppercorn notes as the whisky warms. Thick and luxurious texture with vanilla, caramel, Seville orange, plum pudding, crème caramel, crystallized citrus, and melted chocolate, with a lightly spicy, sweet caramel finish."
34,"Aged for a quarter century and finished in Royal Brackla casks? Count me in. The nose is highly attractive; a rich maltiness unfolds with vanilla oak, flapjacks, whole almonds, and gentle background spices. Smooth caramels, chocolate orange, and a cappuccino note create a thick, weighty blend that melts gracefully into pools of darker chocolate. The mouth-coating finish has plain chocolate, dry oak, and coffee. Brilliant liquid: smoothness personified."
35,"It rarely gets better than this. Vanilla, almond slice, toffee, pencil shavings, sweet oak, and mild wood spices on the nose. Effortlessly smooth and delicate, this warms up gradually, with malt, dark fudge, leather, raisin, and tobacco notes before the wood spices, oak, and chocolate take center stage, ending with a warm, lengthy finish. This must be master blender Colin Scott’s most preciously guarded recipe. The man’s a genius!"
36,"Marmalade, almond, and cinnamon buns, this is a grand interpretation of rich and dry fruit, with an extra layer of lush fruit from the cognac cask. It is thoroughly integrated and the cognac is respectful of the scotch. The palate is luxurious with rich, dark fruits and toffee, velvety smooth, with the cognac fruit encircling the blend, and wood spice on the finish. The perfect dram for frosty winter nights."
37,"Rarely has a blend caused as much excitement as this one, but with good reason. This is also known as the Shackleton whisky, and is a recreation of the whisky abandoned in the Antarctic by explorer Ernest Shackleton more than 100 years ago. It has lemon, spring blossom, and wafts of smoke on the nose. The taste is full and citrusy, with peat and pepper in attendance. Beautifully balanced and outstanding, but there are just 50,000 bottles, so snap it up."
38,"The original Great King Street blend was all sweet lemon and spice. This is something else again. This is a gutsy, urban wise guy of a whisky, rich in peat, with distinctive malty flavors—all in all, closer to a malt than a blend. That's because of the high malt content, and only the rounded edges and soft finish are gilded by grain. Some fruit and spice emerge through the peat, but the smoke's what you remember—a master class in blending."
39,"The end of a series, this fifth and rarest edition has worked leather, chocolate, dark toffee, cinnamon bark, toasted currants, charcoal, and smoking incense. The smoke is commanding but never domineering. It’s a contemplative and weighty proposition, dark as midnight, with plain chocolate, spices, and dark berries, with a smoky intensity following through on the finish. (3,888 bottles) Collectible"
40,"Closer to the heart of JW than its predecessors, Mastery of Oak follows a methodically complicated maturation and blending regime. American oak characteristics, singed cedar spills, damson jam, stewed apple, and rhubarb laced with peppery spice, nutmeg, and clove. A dichotomy of flavors: toffee apple and rhubarb become piquant, verging on sour, with a parallel strand of honey and Caramac. Short finish of the last vestiges of fruit and spice. (5,588 bottles, U.S. Travel Retail)"
41,"Nuts sinking into molten toffee wrapped in pure, sensuous smoke on a foundation of cedarwood, dried fruits, and seasoned oak: as exotic as the box’s interior artwork. Sandy Hyslop’s multi-phasic blend draws on closed distillery Imperial’s trademark fruitiness and peated Caperdonich, while maintaining a steady hand on the balance. Toffee sweetness, mixed peel, pepper, nutmeg, citrus, and smoke. Creamy, satisfying finish with hints of melted chocolate and light smoke. (Travel Retail)"
42,"Johnnie Walker Blue, meet Dewar’s Signature. Signature is Dewar’s introduction into the ultra-premium blended scotch category. Like Johnnie Walker Blue, Signature bears no age statement, but I’m told that a 27 year old Aberfeldy is the heart of the blend. The first release consists only of 1,000 individually numbered bottles, and they’re only available in New York City. I’m always a little skeptical of very expensive blends that come in fancy packages. There are some very good, reasonably priced blends in the 10-20 year old range, and the expensive ones are often only marginally better, if that. But I like this whisky a whole lot better than the standard Dewar’s White Label, and it is also superior to Dewar’s 12 year old-a whisky which I find to be quite enjoyable. While maintaining the Dewar’s profile-nicely balanced-this whisky offers greater depth, maturity, and complexity without being too woody-a creamy, malty foundation makes sure of that. The whisky expresses a rich, honeyed maltiness which combines nicely with notes of golden raisins, vanilla, caramel, and crème brûlée, with just a hint of spicy oak notes for complexity. Signature is a different style when compared to Johnnie Walker Blue-it’s more elegant and bashful-but, like Blue, I put Signature on my short list of the finest blends on the market."
43,"A whopping 90% malt and 10% grain whisky. Soft, with the oak remarkably restrained for its age. Soothingly sweet, with toffee apple, vanilla-spiked sponge cake, nougat, butterscotch, sultana, and cut grass. A dash of cinnamon and coconut throughout, with teasing, gentle polished oak on the finish. Deftly balanced and oh, so drinkable. "
44,"This surrealist Compass Box whisky mimics the dimensional challenges of Magritte’s “Ceci n’est pas une pipe” by raising questions about the luxury pretensions of whisky. Is it the expense? Packaging? Good taste? Masquerading behind a green apple, a bowler-hatted John Glaser smiles enigmatically. Sultanas, charcoal smoke, toffee, chocolate, sea salt, and warm sherry tones. The alcohol rides with dense black cherry, cacao nibs, Colombian coffee, and dark fruits. Trails of smoking fruitcake finish the experience. Above all, buy and consume. (4,992 bottles)"
45,"Peatheads, listen up! Yes, there’s pine needles, zested lemons, honey, sanded wood, nutmeg, and cinnamon within this Islay-dominated blend, but it’s the billowing peat smoke that makes this special. It reeks gloriously of stacked fish boxes and heavy braided ropes on the pier. The dark fruit, baked lemons, cherry, clove, and cooked plum face entanglement in a labyrinth of shadowy stygian smoke. You could get lost in here for hours. (15,000 bottles)"
46,"Bladnoch master distiller Ian MacMillan’s blend is worth seeking out for its appealing freshness; green apple, caramel, shaved oak, toasted whole-grain bread, warm pastries, and dried peels. The palate is awash with bright flavors of honey, walnut, barley sugar, gingerbread in custard, orange taffy candy, and a little spice. It squeezes out more juicy peel oils the more you taste. The conclusion has sweet honey, gingerbread crumbs, and a citrus intensity."
47,"Like opening a box of chocolates and hungrily inhaling the aromas of fruity chocolate, caramel, and soft centers. In addition, there are crystalized orange slices, fresh plum, black cherry, moist coffee grounds, and petrichor. Flavors of chocolate-dipped raspberries, gingersnaps, and bold sherry fruit from the oloroso finish. It’s a dance between the smoke and the fruit, with the smoke ultimately pushed to the fringes, leaving a spiced mocha finish."
48,"Mango, candied orange peel, coriander seed, creamy vanilla, and exotic spices on the nose of this aged blend finished in sweet rum barrels from Trinidad, Jamaica, and Nicaragua. A bright and sunny whisky, it’s full-bodied and moreish, led by tropical fruit flavors of dried papaya, mango, melon, honey, butterscotch, and zesty orange, all framed by gentle spices. Sweet drams are made of this, who am I to disagree?"
49,"Sandy Hyslop has excelled at solely blending European oak sherry cask whiskies here. A dry, spicy nose to relish: rum-raisin ice cream, wafer biscuits, fennel seeds, roasted coriander, seasoned oak, and dense fruitcake. After the Cinnamon Toast Crunch and toffee sweetness disrobe, a riot of spices cavorts across the tastebuds, bedding down to a flavor of spiced, chocolate-covered toffee bars. For cigar lovers, this demands a fine, robust smoke. (Travel Retail exclusive)"
50,"And you thought all Chivas Regal 18 year old was the same. Luscious toffee, cinnamon, nutmeg, chocolate praline, dry grasses, hazelnut, and just a lift of lime and peppermint. The palate has fudge-like sweetness, caramel, walnut cake, murmuring spices, orange peel, and toffee banana. Water unlocks watermelon and a fruitier side to its character. The spices push hard through the finish as the toffee flavors relinquish their grip."
51,"Try this in your next Manhattan. Heather honey sweetness, Belgian waffles, cinnamon, rye spices, creamy vanilla, peppercorn, and dried porcini emerge after the 6-month rye cask finishing period. Sweet caramel oozes over the tongue, Highland toffee and Orkney fudge hold the spices in check. Banana candy and deep citrus acknowledge the Dufftown single malt component. The most accomplished Blender’s Batch to date. Emma Walker has nailed it. (Travel Retail exclusive)"
52,"Ringmaster John Glaser’s latest Big Top attraction: the nose juggles dark marmalade, almonds, sweet sherry, dates, and dried pineapple. Flavors swing like a trapeze between deep orange, dried tropical fruits, nuts, and chocolate, with the silky composure of a seal balancing a ball on its nose. Ridiculously smooth; if you’re looking for burn, try fire eating instead. Knife throwers accurately pinpoint the finish: fruit, (thud) chocolate (thud), spice (THUD). In this manner, Mr. G. will challenge the world! (2,490 bottles)"
53,"A purity and fragility rarely encountered, with aromas as fleeting as footprints on wet sand: marshmallow, meringue, honey, and rose petals. A delicacy to the structure brings banana, caramel, spun sugar, and orange peel. The oak spices build slowly, making the lips throb from the inside. It’s an elaborate maze of ethereal suggestion and an apparition of calm beauty. It atrophies reluctantly, leaving tangy peels and lengthy sweetness anchored by spicy base notes. (12,000 bottles)"
54,"Smoke begins Jim Beveridge’s public replication of the annual Directors Blend concept, built around Johnnie Walker’s signature characteristics. Peat smoke harks back to Islay, but there’s wood smoke, tobacco leaf, and malt, with a salty richness behind it. The grain just gives it a lift of extra sweetness. Polished, with great structure; red apple, raspberry, and sweet linctus wrap up with a long, smoky finish of cigar stub and peat stores. Clear parallels with Directors Blend 2009, but better. (8,888 decanters released) £500"
55,"Complex, elegant textures from the get-go; woodsmoke from a bonfire of green twigs, ashy peat embers, grain stores, vanilla cream, and honey drizzled over baked apples. Golden syrup flapjacks, vanilla fudge, candied apricot, orange peel, Quaker oats, gingerbread, pepper, and a catch of smoke that bridges into the finish, where hints of citrus and golden honeyed grains are found. Classical allure, but eminently accessible."
56,"Inhale deeply and this bestows a sense of serenity; morning dew on clipped lawns strewn with spent fireworks and strands of honey mingled with subtle, elegant smoke. Blender Maureen Robinson’s light, well-balanced creation ushers in gentle honey and growing sweetness, before billowing puffs of smoke grow dominant. Charred peaks of a lemon meringue pie, iced coffee, and milk chocolate follow, leaving a catch of smoke in the aftertaste. Quite a charmer."
57,"This archetypal midnight dram enthralls with aromas of cedar wood humidor, blossom honey, hazelnut, vanilla pod, treacle cake, and maple syrup. Dry as leaves, save for some floaty florals. It’s less weighty than some whiskies at this age, with a balanced show of cinnamon, cocoa, berry fruits, dried grapefruit, hard peel, wood spices, dark toffee, and oak. A finish of dark vanilla, oak, spice, and leather make for a fine digestif. (782 bottles)"
58,"A pedigree blend gracing your glass with aromas of sultana, prune, glacé cherry, toffee, nutmeg, dense dark fruits, sweet toffee, and cozy Christmas spices. This well-paced, silky blend canters through red apple, cherry, pomegranate, pressed date bars, Brazil nut, nutmeg, and pepper. Cinnamon, black pepper, and apple peel make for a harmonious finish. A suitably glamorous libation for spectators of the sport of kings. £110"
59,"This pale gold, limited-edition dram is named in honor of House Stark from the Song of Ice and Fire book series, better known by its television name, Game of Thrones. Designed for Highballs or pouring over ice, it offers a nose of vanilla sponge cake sweetness, dried grasses, green melon, spring blossoms, white pepper, and a faint trace of peppermint. It has a soft, caressing character, with melon, pulpy summer fruits, sour lemon, butterscotch, barley sugar, vanilla caramel, and a later supportive fizzle of spice. It concludes with a finish of sweet vanilla and fruits."
60,"After a series of esoteric and expensive releases, Compass Box has decided to bring it all back to the people with a blend — and how! The journey sets out as we might expect; all sweet vanilla ice cream, stewed pear tart, and peach melba, but then a wave of spice and white pepper provides an unexpected but delightful twist. It’s like Spice Tree meets Hedonism…Spiconism if you like."
61,"This dark, chestnut liquid exudes wafts of rose hip, dense fruitcake, sliced fig, cherry, oak, Brazil nut, and earthy, fragrant damp moss within the rich sherry complexity. A voluptuous, palate-saturating whisky, with burnt orange, ginger spices, star anise, dried fig, and ripe purple plums, concluding with chocolate truffles. It’s a rollicking good blend, dripping with sherry notes, and leaves a deep glow far back in the palate. You’re going to love it. (1,428 bottles) £120"
62,"This is much more muscular than the regular, un-haunted Blue Label. It delivers a multitude of flavors—butter toffee, sweet smoke, citrus peel, and dry spices—tantalizingly peeling off layer after layer, building a slow crescendo to a peak of spices and bitter citrus. Mouth drawing with caramel, apple, pear, and sherbet, a mid-palate of zesty orange and baking spices before topping out with bitter peels, grapefruit, smoke, and sour hard candy."
63,"As you raise the glass to your nose, this has refreshment written all over it. The fragrance of an early morning visit to a florist, zesty orange notes, honey, peach pits, a hint of salt, and the faintest trace of smoke. It’s silky smooth, glistening with honey, a firm edge of orange, vanilla tablet, barley sugar, powdered ginger, all elevated by the grains supporting the Scapa. A smooth, feather-light finish of sparkling light spices and creaminess. A joy to behold."
64,"Originally blended, then recasked into fresh bourbon wood three decades ago, the nose of ripened peaches, cooked pear, pecan nuts, menthol, clove, and vanilla make for a compelling combination. A surprising lift of red summer fruits as this bright whisky sashays around the mouth, the complexity measured out in installments; plum sauce, toasted oak, coffee bean, gingersnaps, clove, licorice, and hints of savory juices. It dances on and on with the whirling wood spices in no hurry whatsoever. (592 bottles)"
65,"Rather luxurious aromas of orange peel, walnut, stewed fruits, fleshy plum, peach pit, sherry fruit, gentle oak, and wood spices. Spiced marmalade, dark Seville orange, plum, vanilla, and plump raisin; this lays down a rich blanket of flavor, though it’s slit open by a piercing blade of spice. I like the subtlety of the sherry influence and the mouth-coating finish of orange peel, ginger, and spice."
66,"Bottled in recognition of Sir Alex Ferguson’s remarkable thirteen league soccer titles, this scotch does him proud. Juicy citrus, aromatic spices, and vanilla pudding; the nose is enveloped with milk chocolate aromas and further spiciness. The blend was selectively finished in American rye barrels, and the flavors crescendo through orange, malt, chocolate, mint, and pepper, with some rye spices that usher in a lengthy, spicy finish. Blissfully good. Best Value"
67,"Sweet caramel on the boundary of maple syrup flavors, with aging tobacco leaf, walnuts, malted barley, charcoal sticks, and snuffed candle wicks, all cushioned by soft oak. An initial impression of a lighter character, though it’s bursting with juicy toffee, butterscotch sauce, wood spices, and dried banana. The spices vibrate gently around the gums on the dry finish of this high-malt content blend, leaving nutty residual flavors."
68,"Available for several years, but now finally making its debut in the U.S. The higher-end Dewar’s expressions (Dewar’s 12 year old and Dewar’s Signature) are very good blends. This one is situated smartly between the two. The malt proportion is rich and creamy; the grain whisky is crisp and well-integrated. Antique gold color, with notes of butterscotch, vanilla wafer, strawberry rhubarb pie, and citrus drizzled with honey. Lovely floral notes in the aroma, along with a pleasing, dried spice finish. I could drink this stuff all day long!"
69,"This Pedro Ximénez-finished blend is the oldest Dewar’s expression available. It offers a deliciously deep nose of chocolate-dipped biscuits, dried fruits, and orange peel. The palate includes indulgent rewards of berry fruit, chocolate praline, raspberry, cherry, dried cranberry, and hazelnut. It remains succulent throughout, the sherry fruit keeping the upper hand over the chocolate and batting away the occasional coffee note. A dry finish with nutty chocolate and roasted spice. (Global Travel Retail only)"
70,"An enticing blend of aged single malt and grain whiskies from silent stills, top-dressed with Port Ellen. The nose has soft fudge, rosehip, and honey lozenges, with a thread of peat sewn through it. A distinct smokiness hangs above the glass. A mouthful exudes lemon sherbet, honey-drizzled melon, and white chocolate, peaking with raspberry and mixed peel before a conclusion of banana-layered banoffee pie. An elegant finish of baked lemon and sweet oak. One for reflection. £350"
71,"A fantastically earthy whisky bristling with real, grubby peat: more blazing, bothy peat fire than coastal campfire. Fleeting elements of fudge and smoldering, mellow cigar stubs. A smooth, creamy blend with lemon curd, vanilla sponge, mint, smoked prosciutto, and a dollop of malt. There’s wonderfully smoky, singeing heat at the back of the palate, though it feels like the Islay peat has been pegged back for the 2015 batch. A succulent and smoky finish to warm the soul."
72,"Ovaltine, Whoppers, worn leather, antique furniture, medjool dates, and black fruits on the nose. Sipping this whisky is an unexpected delight. Given the olfactory cues of advanced maturity, it’s surprisingly nimble and still light on its toes. A charming opening of crumble filling with red currant, cranberry, raspberry, and strawberry, joined by apple, pear, and sultana, with peppery spice. Chili heat and spicy finish. (Batch 6; 2,000 bottles)"
73,"Imagine sipping this sophisticated libation at the supper club turned out in your best bib and tucker. There’s a purity to it, with aromas of fresh red apples, raisins in honey, ground cinnamon, and nutmeg, leading to bitter orange oils and a storm of black pepper fading to tropical fruit, layered caramel, and sugared almonds. Hold this long in the mouth, as it possesses a changing, multi-faceted character. As Cab Calloway said, “This is Hep.” (3,456 bottles) £650"
